HHID,Migration,Internal migration,International migration,Age (HH head),Female (HH head),Secondary education (HH head),HH size,Ethnic minority,Sex ratio,Married females,Married males,ln(savings + 1),Nonfarm income,Temp. anomaly (+),Temp. anomaly (-),Prec. anomaly (+),Prec. anomaly (-),zone,region,kebele
9710124,0,0,0,31.0,0.0,0.0,3.0,0,0.6666666666666666,0.5,1.0,4.61512051684126,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
9760723,2,2,0,38.0,0.0,0.0,6.0,0,0.3333333333333333,0.0,0.0,9.680406499268877,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
9770724,2,2,0,33.0,0.0,0.0,8.0,0,0.5,0.25,0.25,0.0,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
9780124,2,0,2,30.0,1.0,0.0,4.0,0,1.0,0.0,0.0,5.993961427306569,1.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
9840723,0,0,0,25.0,0.0,0.0,3.0,0,0.3333333333333333,1.0,0.5,6.398594934535208,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
9950723,0,2,1,55.0,0.0,0.0,9.0,0,0.4444444444444444,0.25,0.2,5.303304908059076,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
9960111,0,0,0,80.0,0.0,0.0,1.0,0,0.0,0.0,1.0,3.4339872044851463,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
10000724,0,0,0,30.0,0.0,0.0,5.0,0,0.6,0.3333333333333333,0.5,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
10030724,2,2,0,38.0,0.0,0.0,9.0,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,6.2166061010848646,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
10050111,0,0,0,60.0,0.0,1.0,10.0,0,0.4,0.5,0.1666666666666666,0.0,1.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
10104222,2,2,2,40.0,0.0,0.0,7.0,0,0.2857142857142857,0.5,0.2,6.90875477931522,1.0,10.82193004126784,-10.041669097613656,-5.10283144680966,-3.9297380403708218,Arsi,Oromia,422.0
10120723,2,0,2,57.0,0.0,0.0,7.0,0,0.2857142857142857,0.5,0.2,0.0,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
10160111,2,2,0,60.0,1.0,0.0,6.0,0,0.3333333333333333,0.5,0.0,3.9318256327243257,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
10170123,1,1,0,52.0,0.0,0.0,7.0,0,0.4285714285714285,0.3333333333333333,0.25,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,121.0
10170124,2,2,2,62.0,0.0,0.0,6.0,0,0.5,0.6666666666666666,0.3333333333333333,5.993961427306569,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
10220123,2,2,0,58.0,0.0,0.0,4.0,0,0.25,0.0,0.0,3.044522437723423,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,121.0
10240111,2,2,0,42.0,1.0,0.0,5.0,0,0.4,0.5,0.0,0.0,1.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
10250124,0,0,0,34.0,0.0,0.0,8.0,0,0.625,0.2,0.3333333333333333,8.77971129020447,1.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
10290124,2,2,2,60.0,0.0,0.0,11.0,0,0.5454545454545454,0.3333333333333333,0.2,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
10300724,2,2,2,52.0,0.0,0.0,5.0,0,0.4,0.5,0.3333333333333333,4.8283137373023015,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
10370723,2,2,0,65.0,0.0,0.0,9.0,0,0.3333333333333333,0.3333333333333333,0.1666666666666666,4.61512051684126,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
10380111,2,2,0,62.0,0.0,1.0,9.0,0,0.4444444444444444,0.25,0.4,0.0,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
